id,Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,opening_weekend_Gross,genres
tt0073327,Autopsy,https://www.imdb.com/title/tt0073327,1975,1h 40m,R,5.9,2.1K,,,,"['Horror', 'Mystery', 'Thriller']"
tt0073109,The Hiding Place,https://www.imdb.com/title/tt0073109,1975,2h 30m,PG,7.4,2.5K,1800000.0,,,"['Period Drama', 'Prison Drama', 'Biography', 'Drama', 'History', 'War']"
tt0073091,The Happy Hooker,https://www.imdb.com/title/tt0073091,1975,1h 36m,R,3.8,905,,,,"['Biography', 'Comedy']"
tt0073946,Ägget är löst! En hårdkokt saga,https://www.imdb.com/title/tt0073946,1975,1h 47m,,6.2,1.1K,,,,"['Dark Comedy', 'Comedy']"
tt0072919,The Story of Sin,https://www.imdb.com/title/tt0072919,1975,2h 10m,R,6.1,903,,,,['Drama']
tt0073019,Friday Foster,https://www.imdb.com/title/tt0073019,1975,1h 30m,R,6.0,2.7K,750000.0,,,['Action']
tt0073406,The Suspicious Death of a Minor,https://www.imdb.com/title/tt0073406,1975,1h 40m,Not Rated,6.5,1.9K,,,,"['Action', 'Comedy', 'Crime', 'Horror', 'Thriller']"
tt0073133,Hustle,https://www.imdb.com/title/tt0073133,1975,2h,R,6.2,3K,3050000.0,465788.0,,"['Crime', 'Drama', 'Mystery', 'Thriller']"
tt0073864,The Old Gun,https://www.imdb.com/title/tt0073864,1975,1h 43m,R,7.5,5.1K,,2225.0,,"['Drama', 'Thriller', 'War']"
tt0087132,Delinquent School Girls,https://www.imdb.com/title/tt0087132,1975,1h 29m,R,4.8,385,,,,"['Comedy', 'Drama']"
tt0123949,Leave Us Alone,https://www.imdb.com/title/tt0123949,1975,1h 22m,,5.8,201,,,,['Drama']
tt0201070,Penelope Pulls It Off,https://www.imdb.com/title/tt0201070,1975,1h 24m,,4.7,92,,,,['Comedy']
tt0072737,Breakout,https://www.imdb.com/title/tt0072737,1975,1h 36m,PG,6.1,4.8K,1000000.0,,,"['Action', 'Adventure', 'Drama']"
tt0073524,Scandal in the Family,https://www.imdb.com/title/tt0073524,1975,1h 37m,,4.8,213,,,,"['Comedy', 'Drama']"
tt0073903,The Wild Party,https://www.imdb.com/title/tt0073903,1975,1h 35m,R,5.3,837,900000.0,,,"['Period Drama', 'Tragedy', 'Comedy', 'Drama']"
tt0073102,Heißer Mund auf feuchten Lippen,https://www.imdb.com/title/tt0073102,1975,1h 16m,,6.4,36,,,,"['Crime', 'Romance']"
tt0072637,Amici miei,https://www.imdb.com/title/tt0072637,1975,2h 20m,R,7.9,8.2K,,,,"['Comedy', 'Drama']"
tt0073797,That Lucky Touch,https://www.imdb.com/title/tt0073797,1975,1h 29m,PG,4.8,398,,,,['Comedy']
tt0075097,The Premonition,https://www.imdb.com/title/tt0075097,1975,1h 34m,PG,5.3,1.1K,,,,"['Horror', 'Thriller']"
tt0073008,The Fortune,https://www.imdb.com/title/tt0073008,1975,1h 28m,PG,5.6,3.3K,3500000.0,,,"['Dark Comedy', 'Slapstick', 'Comedy', 'Crime', 'Romance']"
tt0073735,Welcome Home Brother Charles,https://www.imdb.com/title/tt0073735,1975,1h 31m,R,4.9,814,,,,"['Action', 'Drama', 'Horror']"
tt0070636,Satanico Pandemonium,https://www.imdb.com/title/tt0070636,1975,1h 29m,Not Rated,6.1,1.6K,,,,"['Horror', 'Mystery', 'Thriller']"
tt0316900,A Woman for All Men,https://www.imdb.com/title/tt0316900,1975,1h 35m,R,5.0,282,,,,['Drama']
tt0073233,Katie Tippel,https://www.imdb.com/title/tt0073233,1975,1h 40m,R,6.7,2.8K,,,,['Drama']
tt0073169,Dirty Hands,https://www.imdb.com/title/tt0073169,1975,1h 42m,R,6.8,2.5K,,,,"['Crime', 'Thriller']"
tt0072829,Crazy Mama,https://www.imdb.com/title/tt0072829,1975,1h 20m,PG,5.4,1.1K,300000.0,,,"['Action', 'Comedy', 'Crime', 'Drama']"
tt0073896,White Line Fever,https://www.imdb.com/title/tt0073896,1975,1h 30m,PG,6.1,2.4K,1400000.0,,,"['Action', 'Crime', 'Drama', 'Romance']"
tt0073688,The Girl from Starship Venus,https://www.imdb.com/title/tt0073688,1975,1h 22m,R,4.5,294,,,,"['Comedy', 'Horror', 'Sci-Fi']"
